,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,88,PF,1552920940,100,-23.12,-134.97,25.59,9.0
1,Bambous Virieux,75,MU,1552920844,74,-20.34,57.76,29.0,3.1
2,Pangnirtung,20,CA,1552917600,61,66.15,-65.72,-31.0,1.5
3,Castro,75,CL,1552917600,81,-42.48,-73.76,10.0,1.5
4,Fortuna,75,ES,1552920925,47,38.18,-1.13,16.0,5.7
5,Bilma,32,NE,1552920942,15,18.69,12.92,31.49,5.5
6,New Norfolk,75,AU,1552920914,87,-42.78,147.06,15.56,1.5
7,Vaini,0,IN,1552920942,56,15.34,74.49,25.74,2.38
8,Souillac,90,FR,1552920849,54,45.6,-0.6,13.33,7.2
9,Kapaa,90,US,1552920361,60,22.08,-159.32,20.0,4.6
10,Arraial do Cabo,0,BR,1552917600,66,-22.97,-42.02,32.0,7.2
11,Albany,1,US,1552920755,58,42.65,-73.75,2.22,4.6
12,Sao Joao da Barra,20,BR,1552917600,66,-21.64,-41.05,31.0,2.1
13,Latur,0,IN,1552920943,37,18.4,76.56,25.74,2.43
14,Ushuaia,75,AR,1552917600,60,-54.81,-68.31,5.0,8.7
15,Mataura,56,NZ,1552920605,95,-46.19,168.86,14.44,0.45
16,Vila Franca do Campo,75,PT,1552919400,93,37.72,-25.43,16.0,5.1
17,Raudeberg,40,NO,1552920903,45,61.99,5.14,6.67,5.7
18,Jamestown,24,AU,1552920945,86,-33.21,138.6,13.49,1.25
19,Busselton,24,AU,1552920912,39,-33.64,115.35,24.44,2.98
20,Nanortalik,88,GL,1552920705,100,60.14,-45.24,-0.67,5.18
21,Newport,90,GB,1552920910,87,51.59,-3.0,10.56,6.7
22,Amapa,40,HN,1552921200,69,15.09,-87.97,27.22,3.1
23,Savannah Bight,0,HN,1552920947,93,16.45,-85.85,26.89,1.63
24,Puerto Ayora,0,EC,1552920360,83,-0.74,-90.35,26.67,3.1
25,Dikson,80,RU,1552920947,94,73.51,80.55,-6.42,10.23
26,Esperance,40,TT,1552920426,58,10.24,-61.45,30.0,7.2
27,Vavozh,0,RU,1552920948,80,56.77,51.93,-1.02,1.5
28,Chumikan,24,RU,1552920948,66,54.72,135.31,-16.42,1.35
29,Hobart,75,AU,1552920674,87,-42.88,147.33,15.56,1.5
30,Ilulissat,75,GL,1552917000,53,69.22,-51.1,-19.0,3.1
31,Aripuana,8,BR,1552920949,75,-9.17,-60.63,30.89,1.3
32,Los Llanos de Aridane,75,ES,1552920663,56,28.66,-17.92,22.0,3.6
33,Hasaki,75,JP,1552920576,66,35.73,140.83,9.0,2.6
34,Magdagachi,0,RU,1552920949,43,53.45,125.8,-7.12,2.98
35,Meulaboh,36,ID,1552920950,100,4.14,96.13,27.09,1.7
36,Nantucket,1,US,1552920938,37,41.28,-70.1,3.89,4.1
37,Chokurdakh,24,RU,1552920950,34,70.62,147.9,-30.67,1.35
38,Katsuura,75,JP,1552920670,71,33.93,134.5,12.0,4.1
39,Valle de Allende,0,MX,1552920951,52,26.94,-105.39,6.49,2.35
40,Ostrovnoy,64,RU,1552920951,94,68.05,39.51,-1.02,5.75
41,Dunedin,92,NZ,1552920327,92,-45.87,170.5,15.0,1.35
42,Nikolskoye,90,RU,1552920936,93,59.7,30.79,3.89,4.0
43,Kununurra,44,AU,1552917600,74,-15.77,128.74,28.0,4.1
44,Avarua,56,CK,1552919400,94,-21.21,-159.78,27.0,4.1
45,Sur,48,OM,1552920952,97,22.57,59.53,22.14,4.28
46,Saint George,0,GR,1552920815,68,39.45,22.34,23.0,4.6
47,Kaitangata,48,NZ,1552920952,87,-46.28,169.85,11.34,1.3
48,Upernavik,24,GL,1552920953,100,72.79,-56.15,-25.17,1.53
49,Hofn,90,IS,1552917600,93,64.25,-15.21,5.0,2.1
50,Pizarro,76,CO,1552920953,93,4.95,-77.37,25.89,0.83
51,Champerico,20,MX,1552916820,68,16.38,-93.6,21.0,5.1
52,Atuona,92,PF,1552920953,100,-9.8,-139.03,26.89,6.98
53,Itacoatiara,20,BR,1552917600,74,-3.14,-58.44,31.0,2.1
54,Georgetown,20,GY,1552917600,70,6.8,-58.16,30.0,7.2
55,Mushie,32,CD,1552920954,73,-3.02,16.92,30.39,1.15
56,Cabo San Lucas,5,MX,1552920433,58,22.89,-109.91,20.0,4.1
57,Kodiak,1,US,1552920829,69,39.95,-94.76,6.67,2.1
58,Pitanga,64,BR,1552920955,68,-24.76,-51.76,26.89,4.53
59,Yellowknife,75,CA,1552920765,79,62.45,-114.38,-5.0,5.7
60,Cidreira,92,BR,1552920958,92,-30.17,-50.22,25.49,2.4
61,Ribeira Grande,40,PT,1552919400,59,38.52,-28.7,19.0,1.5
62,Saskylakh,20,RU,1552920958,39,71.97,114.09,-32.17,1.35
63,Gat,0,SN,1552919400,23,14.69,-16.54,37.0,3.1
64,Xichang,20,CN,1552920959,24,27.88,102.25,16.44,1.68
65,Airai,56,TL,1552920959,85,-8.93,125.41,20.59,0.9
66,Hilo,90,US,1552920927,64,19.71,-155.08,21.0,4.1
67,Barrow,12,AR,1552920960,85,-38.31,-60.23,20.99,9.05
68,Kavieng,20,PG,1552920960,98,-2.57,150.8,29.24,4.38
69,Klaksvik,40,FO,1552920660,81,62.23,-6.59,7.0,4.6
70,Boa Vista,0,BR,1552917600,45,2.82,-60.67,31.0,8.7
71,Bredasdorp,36,ZA,1552917600,61,-34.53,20.04,27.0,5.1
72,East London,75,ZA,1552917600,83,-33.02,27.91,25.0,5.7
73,Novospasskoye,24,RU,1552920962,91,53.15,47.75,-0.67,2.08
74,Tessalit,32,ML,1552920962,15,20.2,1.01,33.79,3.73
75,Butaritari,80,KI,1552920962,100,3.07,172.79,27.19,7.2
76,Hithadhoo,56,MV,1552920962,100,-0.6,73.08,29.34,3.25
77,Srisailam,0,IN,1552920962,51,16.07,78.87,24.99,1.95
78,Pravokumskoye,80,RU,1552920963,83,44.77,44.65,7.94,2.2
79,Port Alfred,92,ZA,1552920675,88,-33.59,26.89,25.0,0.89
80,Giyani,24,ZA,1552920963,45,-23.32,30.73,32.59,2.38
81,Antofagasta,40,CL,1552917600,64,-23.65,-70.4,20.0,2.1
82,Beni Suef,0,EG,1552920963,29,29.07,31.1,24.24,3.03
83,Tuktoyaktuk,75,CA,1552917600,85,69.44,-133.03,-5.0,5.1
84,Kavaratti,0,IN,1552920964,100,10.57,72.64,28.09,2.28
85,Ribnica,75,SI,1552920903,93,45.74,14.73,7.0,1.0
86,Tezu,100,IN,1552920964,100,27.93,96.16,11.99,0.55
87,Severo-Kurilsk,8,RU,1552920964,100,50.68,156.12,-4.27,3.7
88,Tasiilaq,92,GL,1552917000,79,65.61,-37.64,-4.0,6.7
89,Cape Town,20,ZA,1552920791,69,-33.93,18.42,25.0,7.7
90,Sinnamary,64,GF,1552920965,91,5.38,-52.96,26.84,4.5
91,Yarada,20,IN,1552917600,74,17.65,83.27,27.0,3.6
92,Chingirlau,88,KZ,1552920965,93,51.09,54.08,-1.27,3.83
93,Belaya Gora,12,RU,1552920966,0,68.54,146.19,-33.82,1.3
94,Saint-Joseph,48,FR,1552920905,41,43.56,6.97,17.0,4.6
95,Hermanus,64,ZA,1552920966,66,-34.42,19.24,24.19,2.05
96,Kutum,0,SD,1552920966,14,14.2,24.66,28.24,5.13
97,Novobirilyussy,48,RU,1552920967,87,56.95,90.69,-5.52,2.85
98,Thompson,20,CA,1552917600,92,55.74,-97.86,-5.0,1.0
99,Huarmey,76,PE,1552920967,70,-10.07,-78.15,23.64,1.58
100,Provideniya,0,RU,1552920967,100,64.42,-173.23,-15.67,4.9
101,Chuy,68,UY,1552920967,92,-33.69,-53.46,24.34,3.6
102,Luderitz,0,NA,1552920968,74,-26.65,15.16,19.94,3.93
103,Grand Gaube,75,MU,1552920844,74,-20.01,57.66,29.0,3.1
104,Kahului,1,US,1552920823,63,20.89,-156.47,19.0,3.1
105,Ahipara,48,NZ,1552920968,100,-35.17,173.16,16.84,1.93
106,Kulhudhuffushi,0,MV,1552920968,100,6.62,73.07,29.39,3.7
107,Lebu,0,ET,1552920969,23,8.96,38.73,22.44,4.4
108,Namibe,0,AO,1552920969,100,-15.19,12.15,25.84,3.95
109,Bereda,40,ES,1552920842,66,43.27,-7.54,14.44,5.7
110,Aklavik,75,CA,1552917600,55,68.22,-135.01,4.0,2.6
111,Henties Bay,0,NA,1552917737,88,-22.12,14.28,17.78,0.89
112,Jablunka,0,CZ,1552920927,42,49.38,17.95,9.0,6.7
113,Sechura,0,PE,1552920970,74,-5.56,-80.82,26.69,3.05
114,Cherskiy,48,RU,1552920970,68,68.75,161.3,-23.22,4.1
115,Khatanga,80,RU,1552920970,85,71.98,102.47,-16.27,3.3
116,Port Augusta,24,AU,1552920860,88,-32.49,137.76,21.11,6.2
117,Bonavista,0,CA,1552920403,62,48.65,-53.11,-1.11,6.71
118,Wukari,8,NG,1552920974,31,7.87,9.78,38.84,2.38
119,Zhob,44,PK,1552920974,65,31.34,69.45,11.79,3.73
120,Dalhousie,88,IN,1552920974,64,32.54,75.98,8.34,0.83
121,Pevek,64,RU,1552920974,78,69.7,170.27,-20.27,10.18
122,Petropavlivka,8,UA,1552920975,58,48.46,36.42,10.54,2.6
123,Beringovskiy,56,RU,1552920975,100,63.05,179.32,-19.82,3.75
124,Carnarvon,0,ZA,1552920975,5,-30.97,22.13,29.99,4.85
125,Bowen,92,AU,1552920919,88,-20.01,148.25,25.0,3.1
126,Noumea,0,NC,1552919400,83,-22.28,166.46,24.0,1.5
127,Altay,0,CN,1552920976,56,47.83,88.13,-11.47,3.6
128,Mahebourg,75,MU,1552920844,74,-20.41,57.7,29.0,3.1
129,Bluff,0,AU,1552920976,89,-23.58,149.07,20.44,1.75
130,Sao Geraldo do Araguaia,8,BR,1552920976,76,-6.4,-48.55,30.99,2.53
131,Pacific Grove,1,US,1552920937,93,36.62,-121.92,13.89,1.4
132,Chimbote,32,PE,1552920977,83,-9.08,-78.59,23.24,1.58
133,Araouane,0,ML,1552920977,15,18.9,-3.53,35.24,4.1
134,Seoul,90,KR,1552918800,64,37.57,126.98,6.0,0.5
135,Acapulco,20,MX,1552916940,88,16.86,-99.88,26.0,2.1
136,Benjamin Constant,20,BR,1552917600,74,-4.38,-70.03,29.0,2.6
137,Vila Velha,64,BR,1552919290,78,-3.71,-38.6,28.89,3.58
138,Buraydah,0,SA,1552917600,37,26.33,43.97,22.0,2.6
139,Touros,75,BR,1552917600,89,-5.2,-35.46,29.0,2.6
140,Hauterive,88,FR,1552920458,46,46.09,3.45,11.0,4.6
141,Natal,20,BR,1552921200,62,-5.81,-35.21,31.0,3.1
142,Yenagoa,24,NG,1552920979,76,4.92,6.26,31.79,2.95
143,General Roca,0,AR,1552917600,36,-39.03,-67.58,17.0,6.2
144,Qaanaaq,0,GL,1552920979,89,77.48,-69.36,-33.97,3.75
145,Narrabri,40,AU,1552917600,77,-30.33,149.78,21.0,1.3
146,Beckum,40,DE,1552920725,61,51.76,8.04,10.0,4.6
147,Yar-Sale,8,RU,1552920980,71,66.83,70.83,-11.57,4.23
148,Qasigiannguit,75,GL,1552917000,53,68.82,-51.19,-19.0,3.1
149,Hamilton,90,BM,1552920726,93,32.3,-64.78,15.0,6.7
150,Ponta do Sol,8,BR,1552920980,88,-20.63,-46.0,27.99,1.9
151,Bam,0,IR,1552920981,11,29.11,58.36,18.59,4.68
152,Mar del Plata,44,AR,1552920981,50,-46.43,-67.52,14.04,9.7
153,Elesbao Veloso,80,BR,1552920981,91,-6.2,-42.14,27.19,1.68
154,Punta Arenas,75,CL,1552920787,65,-53.16,-70.91,8.0,6.2
155,Clearwater,75,US,1552920732,67,27.97,-82.8,19.0,1.5
156,Babu,48,CN,1552920982,91,23.23,104.89,13.59,1.0
157,Linhares,0,BR,1552920982,50,-19.38,-40.06,34.34,2.73
158,Rio Verde de Mato Grosso,20,BR,1552920982,66,-18.92,-54.84,31.44,3.73
159,Saint-Philippe,1,CA,1552920925,45,45.36,-73.48,-2.78,4.1
160,Sibolga,36,ID,1552920983,98,1.74,98.78,22.09,0.5
161,Berlevag,75,NO,1552917000,63,70.86,29.09,-1.0,10.8
162,Vertientes,75,CU,1552917000,88,21.26,-78.15,25.0,3.1
163,Belmonte,8,PT,1552920315,43,40.36,-7.35,15.0,4.47
164,Monforte de Lemos,12,ES,1552920906,63,42.52,-7.51,13.89,2.24
165,Vieste,20,IT,1552920303,67,41.88,16.18,19.44,4.6
166,Samarai,92,PG,1552920984,100,-10.62,150.67,26.84,1.48
167,Port Elizabeth,90,US,1552920806,51,39.31,-74.98,7.22,4.1
168,San Luis,0,AR,1552920986,73,-33.3,-66.34,23.24,3.98
169,Tura,44,IN,1552920986,85,25.52,90.21,17.19,1.6
170,Boyolangu,80,ID,1552920986,94,-8.09,111.9,21.19,1.0
171,Baykit,68,RU,1552920986,71,61.68,96.39,-12.27,2.03
172,Sao Jose da Coroa Grande,48,BR,1552920986,90,-8.9,-35.15,29.04,3.53
173,Mareeba,75,AU,1552920917,83,-16.99,145.42,26.0,4.1
174,Karasburg,0,NA,1552920987,6,-28.01,18.75,33.89,6.18
175,Jacareacanga,75,BR,1552917600,88,-6.22,-57.76,28.0,1.3
176,Portobelo,40,PA,1552920825,62,9.55,-79.65,30.56,1.0
177,Torbay,20,CA,1552920812,54,47.66,-52.73,0.0,10.3
178,Bethel,1,US,1552917360,92,60.79,-161.76,-12.0,5.1
179,Duobao,0,CN,1552920980,78,30.67,112.69,14.44,4.0
180,The Valley,20,AI,1552920421,47,18.22,-63.06,27.22,8.2
181,Austin,1,US,1552920690,46,30.27,-97.74,13.33,2.1
182,Chapais,90,CA,1552920180,64,49.78,-74.86,-17.0,3.6
183,Praia da Vitoria,75,PT,1552920373,82,38.73,-27.07,17.78,4.2
184,Ngunguru,24,NZ,1552919884,92,-35.62,174.5,17.22,4.68
